Category: All categories

Month,internet of things: (Worldwide)
2004-01,7
2004-02,3
2004-03,3
2004-04,4
2004-05,5
2004-06,6
2004-07,3
2004-08,6
2004-09,12
2004-10,5
2004-11,11
2004-12,5
2005-01,3
2005-02,1
2005-03,2
2005-04,6
2005-05,6
2005-06,3
2005-07,6
2005-08,2
2005-09,4
2005-10,6
2005-11,7
2005-12,6
2006-01,4
2006-02,3
2006-03,4
2006-04,4
2006-05,5
2006-06,5
2006-07,3
2006-08,1
2006-09,5
2006-10,5
2006-11,4
2006-12,3
2007-01,3
2007-02,4
2007-03,4
2007-04,3
2007-05,4
2007-06,3
2007-07,3
2007-08,4
2007-09,5
2007-10,4
2007-11,7
2007-12,5
2008-01,4
2008-02,5
2008-03,6
2008-04,7
2008-05,4
2008-06,4
2008-07,5
2008-08,4
2008-09,6
2008-10,6
2008-11,7
2008-12,4
2009-01,5
2009-02,6
2009-03,7
2009-04,6
2009-05,7
2009-06,6
2009-07,6
2009-08,6
2009-09,9
2009-10,9
2009-11,11
2009-12,10
2010-01,9
2010-02,8
2010-03,11
2010-04,11
2010-05,13
2010-06,11
2010-07,11
2010-08,10
2010-09,11
2010-10,12
2010-11,12
2010-12,11
2011-01,11
2011-02,8
2011-03,11
2011-04,11
2011-05,10
2011-06,11
2011-07,10
2011-08,10
2011-09,12
2011-10,12
2011-11,12
2011-12,13
2012-01,12
2012-02,15
2012-03,15
2012-04,14
2012-05,13
2012-06,13
2012-07,11
2012-08,12
2012-09,13
2012-10,16
2012-11,15
2012-12,16
2013-01,17
2013-02,18
2013-03,18
2013-04,19
2013-05,20
2013-06,20
2013-07,19
2013-08,19
2013-09,25
2013-10,32
2013-11,34
2013-12,30
2014-01,48
2014-02,43
2014-03,48
2014-04,55
2014-05,52
2014-06,50
2014-07,57
2014-08,56
2014-09,65
2014-10,72
2014-11,68
2014-12,63
2015-01,82
2015-02,88
2015-03,86
2015-04,83
2015-05,84
2015-06,85
2015-07,80
2015-08,80
2015-09,92
2015-10,87
2015-11,90
2015-12,82
2016-01,82
2016-02,88
2016-03,88
2016-04,88
2016-05,81
2016-06,75
2016-07,71
2016-08,71
2016-09,86
2016-10,100
2016-11,100
2016-12,72
2017-01,81
2017-02,87
2017-03,88
2017-04,82
2017-05,80
2017-06,70
2017-07,65
2017-08,66
2017-09,75
2017-10,81
2017-11,83
2017-12,73
