Category: All categories

Month,iot: (Worldwide)
2004-01,5
2004-02,5
2004-03,6
2004-04,2
2004-05,4
2004-06,4
2004-07,5
2004-08,5
2004-09,5
2004-10,5
2004-11,6
2004-12,4
2005-01,5
2005-02,5
2005-03,4
2005-04,4
2005-05,4
2005-06,5
2005-07,5
2005-08,4
2005-09,5
2005-10,5
2005-11,2
2005-12,4
2006-01,4
2006-02,7
2006-03,6
2006-04,5
2006-05,6
2006-06,4
2006-07,5
2006-08,5
2006-09,5
2006-10,5
2006-11,4
2006-12,4
2007-01,5
2007-02,4
2007-03,5
2007-04,4
2007-05,5
2007-06,5
2007-07,5
2007-08,4
2007-09,4
2007-10,5
2007-11,5
2007-12,5
2008-01,5
2008-02,5
2008-03,4
2008-04,5
2008-05,5
2008-06,6
2008-07,5
2008-08,5
2008-09,5
2008-10,4
2008-11,5
2008-12,4
2009-01,5
2009-02,5
2009-03,4
2009-04,5
2009-05,5
2009-06,5
2009-07,5
2009-08,5
2009-09,5
2009-10,6
2009-11,6
2009-12,4
2010-01,5
2010-02,5
2010-03,6
2010-04,6
2010-05,6
2010-06,6
2010-07,5
2010-08,6
2010-09,6
2010-10,6
2010-11,6
2010-12,5
2011-01,6
2011-02,6
2011-03,6
2011-04,7
2011-05,6
2011-06,7
2011-07,6
2011-08,7
2011-09,6
2011-10,6
2011-11,7
2011-12,6
2012-01,6
2012-02,7
2012-03,6
2012-04,7
2012-05,7
2012-06,7
2012-07,6
2012-08,6
2012-09,6
2012-10,7
2012-11,6
2012-12,5
2013-01,6
2013-02,6
2013-03,7
2013-04,7
2013-05,7
2013-06,7
2013-07,7
2013-08,6
2013-09,7
2013-10,8
2013-11,8
2013-12,7
2014-01,9
2014-02,10
2014-03,10
2014-04,13
2014-05,12
2014-06,14
2014-07,14
2014-08,14
2014-09,18
2014-10,20
2014-11,20
2014-12,19
2015-01,27
2015-02,27
2015-03,30
2015-04,33
2015-05,38
2015-06,42
2015-07,40
2015-08,44
2015-09,47
2015-10,52
2015-11,50
2015-12,49
2016-01,55
2016-02,61
2016-03,63
2016-04,67
2016-05,66
2016-06,69
2016-07,67
2016-08,68
2016-09,77
2016-10,85
2016-11,84
2016-12,72
2017-01,84
2017-02,84
2017-03,93
2017-04,87
2017-05,89
2017-06,85
2017-07,80
2017-08,80
2017-09,88
2017-10,92
2017-11,100
2017-12,89
